timestamp_ms,x,y,z
143130,0.8546875,-0.078125,9.8828125
143140,0.7765625,-0.11328125,9.847656
143150,0.8546875,-0.0390625,9.8828125
143160,0.8546875,0.0,9.7265625
143170,0.89375,0.0,9.691406
143180,0.815625,-0.0390625,9.84375
143190,0.89375,-0.078125,9.886719
143200,0.89375,0.0,9.730469
143210,0.89375,-0.0390625,9.886719
143220,0.815625,-0.0390625,9.84375
143230,0.8546875,-0.078125,9.769531
143240,0.8546875,-0.078125,9.84375
143250,0.89375,-0.0390625,9.765625
143260,0.89375,-0.078125,9.765625
143270,0.8546875,-0.0390625,9.808594
143280,0.815625,-0.0390625,9.808594
143290,0.89375,0.0,9.765625
143300,0.8546875,-0.078125,9.808594
143310,0.8546875,-0.0390625,9.7265625
143320,0.8546875,-0.0390625,9.769531
143330,0.815625,-0.078125,9.9609375
143340,0.89375,0.0390625,9.730469
143350,0.8546875,-0.0390625,9.769531
143360,0.815625,-0.11328125,9.925781
143370,0.8546875,0.0,9.7265625
143380,0.8546875,-0.0390625,9.84375
143390,0.815625,0.0,9.8828125
143400,0.8546875,-0.078125,9.808594
143410,0.8546875,0.0,9.769531
143420,0.8546875,0.0,9.808594
143430,0.815625,-0.0390625,9.84375
143440,0.815625,-0.0390625,9.769531
143450,0.815625,-0.0390625,9.84375
143460,0.8546875,0.0,9.7265625
143470,0.89375,-0.078125,9.765625
143480,0.815625,-0.078125,9.8828125
143490,0.89375,-0.0390625,9.8046875
143500,0.8546875,-0.078125,9.84375
143510,0.89375,-0.078125,9.886719
143520,0.8546875,-0.078125,9.84375
143530,0.8546875,0.0,9.7265625
143540,0.8546875,-0.078125,9.808594
143550,0.815625,-0.0390625,9.925781
143560,0.8546875,-0.0390625,9.7265625
143570,0.89375,-0.078125,9.847656
143580,0.8546875,0.0,9.808594
143590,0.815625,0.0,9.808594
143600,0.8546875,-0.0390625,9.808594
143610,0.815625,0.0,9.769531
143620,0.8546875,-0.0390625,9.769531
143630,0.8546875,-0.0390625,9.769531
143640,0.815625,-0.078125,9.925781
143650,0.8546875,-0.0390625,9.808594
143660,0.89375,-0.0390625,9.730469
143670,0.815625,-0.0390625,9.925781
143680,0.8546875,0.0,9.769531
143690,0.8546875,-0.078125,9.84375
143700,0.815625,0.0,9.7265625
143710,0.89375,0.0,9.730469
143720,0.8546875,-0.078125,9.808594
143730,0.8546875,0.0,9.769531
143740,0.8546875,-0.078125,9.8828125
143750,0.8546875,-0.0390625,9.808594
143760,0.8546875,-0.0390625,9.8828125
143770,0.89375,0.0,9.765625
143780,0.8546875,-0.0390625,9.84375
143790,0.8546875,-0.078125,9.8828125
